IPAddress,Finished,F_SEX,AGE,F_AGECAT,RACE,DATAUSEa_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49
199.190.238.132,TRUE,Female,31,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
73.137.74.144,TRUE,Male,31,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
172.58.19.78,TRUE,Female,31,30-49,Asian or Asian American,Acceptable,Acceptable,Unsure,Acceptable
67.22.161.177,TRUE,Male,31,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
174.198.205.41,TRUE,Female,31,30-49,White,Acceptable,Acceptable,Unacceptable,Unsure
130.45.107.87,TRUE,Female,31,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
108.4.91.108,TRUE,Female,31,30-49,Prefer not to answer,Acceptable,Unacceptable,Acceptable,Acceptable
75.68.222.123,TRUE,Female,31,30-49,American Indian or Alaska Native,Acceptable,Acceptable,Unsure,Acceptable
70.15.81.24,TRUE,Female,31,30-49,White,Acceptable,Acceptable,Acceptable,Unsure
72.68.169.238,TRUE,Male,31,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
174.48.174.101,TRUE,Male,31,30-49,Hispanic or Latino,Acceptable,Unacceptable,Unacceptable,Acceptable
98.248.132.138,TRUE,Female,31,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
68.192.55.27,TRUE,Male,31,30-49,White,Acceptable,Unacceptable,Acceptable,Unacceptable
65.31.3.236,TRUE,Male,31,30-49,Asian or Asian American,Acceptable,Unacceptable,Acceptable,Unacceptable
71.198.15.65,TRUE,Male,31,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
71.199.89.214,TRUE,Male,31,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
67.221.218.184,TRUE,Male,32,30-49,White,Unsure,Unacceptable,Unsure,Unacceptable
75.115.20.37,TRUE,Male,32,30-49,White,Unsure,Unsure,Unsure,Unsure
47.215.208.69,TRUE,Male,32,30-49,White,Unsure,Unacceptable,Unacceptable,Unsure
72.199.29.226,TRUE,Male,32,30-49,"White,Asian or Asian American,American Indian or Alaska Native",Unacceptable,Acceptable,Unacceptable,Unacceptable
97.101.110.235,TRUE,Male,32,30-49,"Hispanic or Latino,White",Unacceptable,Acceptable,Acceptable,Acceptable
98.148.74.247,TRUE,Male,32,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Acceptable,Acceptable
66.168.253.89,TRUE,Male,32,30-49,Black or African American,Unacceptable,Unsure,Unacceptable,Acceptable
45.24.251.52,TRUE,Male,32,30-49,Black or African American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
68.7.31.244,TRUE,Male,32,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Acceptable,Unsure
76.247.128.135,TRUE,Male,32,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
172.58.158.94,TRUE,Male,32,30-49,White,Acceptable,Acceptable,Unacceptable,Acceptable
73.82.184.203,TRUE,Male,32,30-49,Black or African American,Acceptable,Unsure,Acceptable,Acceptable
70.115.223.105,TRUE,Male,32,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
98.151.217.44,TRUE,Female,32,30-49,"White,Asian or Asian American,Native Hawaiian or Pacific Islander",Acceptable,Unsure,Acceptable,Acceptable
73.71.130.37,TRUE,Female,32,30-49,"Hispanic or Latino,White,Black or African American,Asian or Asian American",Acceptable,Acceptable,Acceptable,Acceptable
108.183.68.192,TRUE,Male,32,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
72.234.210.180,TRUE,Male,32,30-49,"White,Native Hawaiian or Pacific Islander",Acceptable,Unsure,Acceptable,Unacceptable
74.128.85.67,TRUE,Male,32,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
107.77.197.142,TRUE,Male,32,30-49,Hispanic or Latino,Acceptable,Unsure,Unacceptable,Unsure
107.77.234.51,TRUE,Female,33,30-49,White,Unsure,Unsure,Unsure,Unsure
45.24.160.233,TRUE,Female,33,30-49,Asian or Asian American,Unsure,Unacceptable,Unacceptable,Unsure
107.77.231.97,TRUE,Female,33,30-49,Asian or Asian American,Unsure,Acceptable,Acceptable,Unacceptable
68.195.189.70,TRUE,Female,33,30-49,"Hispanic or Latino,Black or African American",Unsure,Unsure,Unsure,Unsure
68.44.9.152,TRUE,Male,33,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
99.8.89.221,TRUE,Female,33,30-49,Black or African American,Unacceptable,Acceptable,Unsure,Acceptable
76.173.22.206,TRUE,Male,33,30-49,"Hispanic or Latino,Asian or Asian American",Unacceptable,Unsure,Unsure,Unsure
98.115.134.37,TRUE,Female,33,30-49,"Hispanic or Latino,Prefer not to answer",Unacceptable,Unsure,Acceptable,Unacceptable
172.114.105.247,TRUE,Male,33,30-49,Hispanic or Latino,Unacceptable,Unsure,Unacceptable,Acceptable
69.12.29.10,TRUE,Male,33,30-49,White,Acceptable,Acceptable,Acceptable,Unacceptable
107.77.202.195,TRUE,Female,33,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Unacceptable
24.6.130.114,TRUE,Female,33,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
97.126.103.173,TRUE,Male,33,30-49,White,Acceptable,Unacceptable,Acceptable,Acceptable
68.108.61.217,TRUE,Male,33,30-49,Hispanic or Latino,Acceptable,Unacceptable,Acceptable,Acceptable
66.190.126.150,TRUE,Female,33,30-49,Black or African American,Acceptable,Acceptable,Unacceptable,Acceptable
98.200.9.219,TRUE,Male,33,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
65.34.44.122,TRUE,Female,33,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
70.117.152.224,TRUE,Male,33,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
74.71.249.118,TRUE,Male,33,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
107.77.223.144,TRUE,Male,33,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
65.132.105.120,TRUE,Male,33,30-49,White,Acceptable,Unacceptable,Acceptable,Acceptable
71.163.242.51,TRUE,Male,33,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
76.229.153.125,TRUE,Male,33,30-49,Black or African American,Acceptable,Acceptable,Unacceptable,Acceptable
67.247.122.26,TRUE,Male,33,30-49,"Hispanic or Latino,Black or African American",Acceptable,Acceptable,Acceptable,Acceptable
216.165.247.20,TRUE,Male,33,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Unsure
139.60.123.120,TRUE,Male,33,30-49,Asian or Asian American,Acceptable,Unacceptable,Unacceptable,Acceptable
98.215.180.181,TRUE,Male,34,30-49,Black or African American,Unsure,Acceptable,Acceptable,Acceptable
68.187.55.18,TRUE,Female,34,30-49,Black or African American,Unsure,Unsure,Acceptable,Unacceptable
174.231.131.91,TRUE,Female,34,30-49,White,Unsure,Unacceptable,Unsure,Unacceptable
98.121.249.217,TRUE,Male,34,30-49,White,Unsure,Unsure,Unsure,Acceptable
108.81.64.92,TRUE,Male,34,30-49,White,Unsure,Unsure,Unsure,Unsure
69.236.126.207,TRUE,Male,34,30-49,Black or African American,Unsure,Unacceptable,Acceptable,Acceptable
76.193.122.129,TRUE,Male,34,30-49,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
24.7.6.199,TRUE,Female,34,30-49,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Unacceptable
69.178.103.201,TRUE,Female,34,30-49,Black or African American,Unacceptable,Unacceptable,Acceptable,Unacceptable
72.71.146.211,TRUE,Female,34,30-49,Black or African American,Unacceptable,Unacceptable,Acceptable,Unsure
71.163.64.117,TRUE,Male,34,30-49,Prefer not to answer,Unacceptable,Acceptable,Unsure,Unacceptable
174.225.1.235,TRUE,Male,34,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
68.14.52.9,TRUE,Female,34,30-49,Asian or Asian American,Unacceptable,Acceptable,Acceptable,Acceptable
172.58.190.163,TRUE,Male,34,30-49,Hispanic or Latino,Unacceptable,Acceptable,Unacceptable,Unacceptable
108.31.169.208,TRUE,Female,34,30-49,Black or African American,Unacceptable,Unsure,Acceptable,Unsure
50.89.252.15,TRUE,Female,34,30-49,Hispanic or Latino,Unacceptable,Unsure,Acceptable,Unsure
66.189.238.157,TRUE,Male,34,30-49,White,Acceptable,Acceptable,Unsure,Acceptable
68.172.232.231,TRUE,Female,34,30-49,Asian or Asian American,Acceptable,Unacceptable,Acceptable,Acceptable
172.0.245.245,TRUE,Female,34,30-49,White,Acceptable,Unsure,Acceptable,Unsure
24.209.251.146,TRUE,Female,34,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
24.4.217.161,TRUE,Male,34,30-49,Hispanic or Latino,Acceptable,Unacceptable,Acceptable,Unacceptable
71.232.108.4,TRUE,Male,34,30-49,Black or African American,Acceptable,Acceptable,Unsure,Acceptable
68.2.211.221,TRUE,Male,34,30-49,Asian or Asian American,Acceptable,Acceptable,Unacceptable,Acceptable
172.58.159.141,TRUE,Male,34,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Unacceptable
172.58.188.172,TRUE,Male,34,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
107.242.125.25,TRUE,Male,34,30-49,White,Acceptable,Acceptable,Unacceptable,Unacceptable
157.22.254.52,TRUE,Female,35,30-49,Asian or Asian American,Unsure,Acceptable,Acceptable,Acceptable
74.78.162.80,TRUE,Male,35,30-49,Black or African American,Unsure,Acceptable,Unsure,Unacceptable
67.183.127.71,TRUE,Female,35,30-49,White,Unsure,Unsure,Unacceptable,Unacceptable
68.0.76.65,TRUE,Male,35,30-49,White,Unsure,Unsure,Unacceptable,Unacceptable
173.81.172.127,TRUE,Male,35,30-49,White,Unsure,Unacceptable,Acceptable,Unacceptable
67.184.235.24,TRUE,Male,35,30-49,Black or African American,Unsure,Unsure,Unsure,Unsure
68.119.205.199,TRUE,Female,35,30-49,White,Unacceptable,Unsure,Unacceptable,Unacceptable
66.242.93.68,TRUE,Female,35,30-49,White,Unacceptable,Acceptable,Unacceptable,Unacceptable
68.184.67.127,TRUE,Male,35,30-49,Black or African American,Unacceptable,Unacceptable,Acceptable,Unsure
107.143.231.40,TRUE,Male,35,30-49,White,Unacceptable,Unacceptable,Unacceptable,Acceptable
104.5.133.65,TRUE,Male,35,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
104.5.133.65,TRUE,Male,35,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
47.18.22.219,TRUE,Female,35,30-49,Black or African American,Unacceptable,Unacceptable,Unacceptable,Acceptable
66.69.112.118,TRUE,Female,35,30-49,"Hispanic or Latino,White,American Indian or Alaska Native",Unacceptable,Unsure,Unsure,Unsure
174.253.64.63,TRUE,Female,35,30-49,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
172.91.144.14,TRUE,Male,35,30-49,Asian or Asian American,Unacceptable,Acceptable,Unacceptable,Unacceptable
141.239.84.149,TRUE,Male,35,30-49,Asian or Asian American,Unacceptable,Unsure,Unacceptable,Unacceptable
50.90.240.82,TRUE,Female,35,30-49,"Hispanic or Latino,Black or African American",Acceptable,Acceptable,Acceptable,Acceptable
24.170.198.173,TRUE,Male,35,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Unsure
12.197.235.139,TRUE,Female,35,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Unsure
172.58.158.221,TRUE,Female,35,30-49,White,Acceptable,Unsure,Unacceptable,Acceptable
107.242.113.15,TRUE,Male,35,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
172.58.222.204,TRUE,Male,35,30-49,Asian or Asian American,Acceptable,Acceptable,Unsure,Acceptable
137.118.136.198,TRUE,Male,36,30-49,White,Unsure,Unsure,Unsure,Unsure
198.72.132.78,TRUE,Female,36,30-49,White,Unsure,Unsure,Unacceptable,Acceptable
184.101.49.8,TRUE,Female,36,30-49,White,Unsure,Acceptable,Acceptable,Unsure
107.77.216.167,TRUE,Male,36,30-49,White,Unsure,Acceptable,Acceptable,Acceptable
108.211.80.218,TRUE,Male,36,30-49,White,Unsure,Acceptable,Acceptable,Unacceptable
216.198.166.17,TRUE,Female,36,30-49,White,Unacceptable,Unacceptable,Unsure,Unacceptable
47.195.10.77,TRUE,Male,36,30-49,White,Unacceptable,Acceptable,Acceptable,Acceptable
72.176.20.94,TRUE,Female,36,30-49,Black or African American,Unacceptable,Unacceptable,Acceptable,Unacceptable
99.203.120.247,TRUE,Female,36,30-49,Asian or Asian American,Unacceptable,Acceptable,Unsure,Acceptable
47.205.92.165,TRUE,Male,36,30-49,White,Unacceptable,Acceptable,Acceptable,Unacceptable
172.58.14.155,TRUE,Male,36,30-49,White,Unacceptable,Acceptable,Unacceptable,Acceptable
63.86.0.116,TRUE,Male,36,30-49,Black or African American,Unacceptable,Unsure,Unacceptable,Unacceptable
73.79.229.65,TRUE,Male,36,30-49,White,Unacceptable,Acceptable,Acceptable,Unacceptable
104.254.42.15,TRUE,Male,36,30-49,White,Unacceptable,Acceptable,Unacceptable,Unacceptable
172.76.227.116,TRUE,Male,36,30-49,White,Unacceptable,Acceptable,Acceptable,Acceptable
162.228.90.153,TRUE,Female,36,30-49,Asian or Asian American,Acceptable,Unsure,Unacceptable,Unacceptable
73.222.137.145,TRUE,Female,36,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
107.242.113.10,TRUE,Female,36,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
199.16.110.147,TRUE,Male,36,30-49,American Indian or Alaska Native,Acceptable,Acceptable,Unsure,Acceptable
174.82.243.52,TRUE,Male,36,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
99.195.90.212,TRUE,Male,36,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Unacceptable
63.152.94.30,TRUE,Female,36,30-49,Black or African American,Acceptable,Acceptable,Unsure,Acceptable
69.246.107.236,TRUE,Male,36,30-49,Black or African American,Acceptable,Unacceptable,Acceptable,Unsure
73.112.68.205,TRUE,Male,36,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Unacceptable
107.193.251.96,TRUE,Male,36,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
172.91.126.48,TRUE,Female,36,30-49,White,Acceptable,Unsure,Unacceptable,Acceptable
107.178.33.18,FALSE,,36,30-49,,Acceptable,Acceptable,Acceptable,Acceptable
198.241.2.100,TRUE,Male,37,30-49,Black or African American,Unsure,Unsure,Unsure,Unsure
174.66.161.100,TRUE,Male,37,30-49,Hispanic or Latino,Unsure,Unacceptable,Unsure,Unsure
99.41.173.249,TRUE,Female,37,30-49,Asian or Asian American,Unsure,Unacceptable,Unsure,Unacceptable
70.127.82.135,TRUE,Female,37,30-49,Black or African American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
99.203.101.157,TRUE,Female,37,30-49,Black or African American,Unacceptable,Unacceptable,Unacceptable,Acceptable
70.113.171.162,TRUE,Male,37,30-49,Hispanic or Latino,Unacceptable,Acceptable,Acceptable,Acceptable
67.240.5.143,TRUE,Male,37,30-49,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
107.77.165.9,TRUE,Male,37,30-49,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Unacceptable
24.121.27.62,TRUE,Male,37,30-49,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Acceptable
107.77.253.5,TRUE,Female,37,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Acceptable
63.78.119.155,TRUE,Female,37,30-49,"Hispanic or Latino,White",Acceptable,Acceptable,Unacceptable,Unsure
172.58.121.231,TRUE,Female,37,30-49,White,Acceptable,Unacceptable,Unacceptable,Acceptable
107.77.230.76,TRUE,Male,37,30-49,"Hispanic or Latino,White",Acceptable,Acceptable,Unacceptable,Acceptable
172.14.118.218,TRUE,Female,37,30-49,Asian or Asian American,Acceptable,Unacceptable,Unacceptable,Unacceptable
98.163.241.244,TRUE,Female,37,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
50.38.132.249,TRUE,Male,37,30-49,American Indian or Alaska Native,Acceptable,Unacceptable,Acceptable,Acceptable
76.91.135.49,TRUE,Female,37,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
24.32.42.143,TRUE,Female,37,30-49,White,Acceptable,Unsure,Unsure,Unsure
75.58.176.204,TRUE,Male,37,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
73.231.130.46,TRUE,Female,37,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
162.129.252.234,TRUE,Female,38,30-49,White,Unsure,Unsure,Unacceptable,Unsure
172.58.184.230,TRUE,Male,38,30-49,Black or African American,Unsure,Acceptable,Unsure,Unacceptable
99.203.201.28,TRUE,Male,38,30-49,White,Unsure,Unacceptable,Acceptable,Unacceptable
174.197.7.54,TRUE,Male,38,30-49,Hispanic or Latino,Unsure,Unsure,Unsure,Unsure
76.16.92.12,TRUE,Female,38,30-49,Asian or Asian American,Unsure,Unacceptable,Unacceptable,Acceptable
107.9.52.153,TRUE,Male,38,30-49,White,Unsure,Unsure,Unsure,Unsure
24.168.41.147,TRUE,Male,38,30-49,"Hispanic or Latino,White",Unacceptable,Unacceptable,Unacceptable,Unacceptable
67.182.204.22,TRUE,Female,38,30-49,Black or African American,Unacceptable,Unsure,Unsure,Acceptable
174.255.194.60,TRUE,Male,38,30-49,Black or African American,Unacceptable,Unacceptable,Unsure,Acceptable
172.58.14.211,TRUE,Male,38,30-49,Hispanic or Latino,Unacceptable,Acceptable,Unacceptable,Unacceptable
71.198.109.29,TRUE,Male,38,30-49,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Unacceptable
75.128.75.39,TRUE,Female,38,30-49,"Hispanic or Latino,White",Unacceptable,Unacceptable,Unacceptable,Unacceptable
74.132.224.80,TRUE,Male,38,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Acceptable,Unsure
97.81.183.142,TRUE,Male,38,30-49,White,Unacceptable,Acceptable,Acceptable,Unacceptable
172.56.7.55,TRUE,Male,38,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
107.77.245.33,TRUE,Female,38,30-49,Prefer not to answer,Acceptable,Unacceptable,Unacceptable,Unacceptable
24.125.201.254,TRUE,Male,38,30-49,Asian or Asian American,Acceptable,Acceptable,Unacceptable,Acceptable
174.195.129.16,TRUE,Female,38,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
172.58.27.202,TRUE,Female,38,30-49,"Hispanic or Latino,White",Acceptable,Unacceptable,Unsure,Unacceptable
172.58.35.71,TRUE,Female,38,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
96.40.188.54,TRUE,Male,38,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Unsure
99.177.183.103,TRUE,Male,38,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
174.251.136.135,TRUE,Male,38,30-49,White,Acceptable,Unacceptable,Unacceptable,Unacceptable
73.145.222.32,TRUE,Male,38,30-49,White,Acceptable,Unacceptable,Acceptable,Unacceptable
174.198.230.238,TRUE,Female,39,30-49,White,Unsure,Acceptable,Acceptable,Unacceptable
47.41.246.22,TRUE,Female,39,30-49,White,Unsure,Unacceptable,Unsure,Acceptable
47.219.244.50,TRUE,Female,39,30-49,Asian or Asian American,Unsure,Unsure,Unsure,Unsure
172.12.234.239,TRUE,Male,39,30-49,Black or African American,Unsure,Unacceptable,Acceptable,Acceptable
24.230.71.218,TRUE,Male,39,30-49,White,Unsure,Unsure,Acceptable,Acceptable
70.114.127.14,TRUE,Female,39,30-49,"Hispanic or Latino,White",Unacceptable,Unacceptable,Acceptable,Unacceptable
172.91.137.163,TRUE,Female,39,30-49,Asian or Asian American,Unacceptable,Unsure,Unsure,Unacceptable
104.174.1.160,TRUE,Male,39,30-49,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
73.95.114.199,TRUE,Male,39,30-49,White,Unacceptable,Acceptable,Acceptable,Unacceptable
68.104.185.14,TRUE,Male,39,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
107.77.189.17,TRUE,Male,39,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Unacceptable,Unacceptable
207.86.137.165,TRUE,Male,39,30-49,"Hispanic or Latino,American Indian or Alaska Native",Unacceptable,Unacceptable,Unacceptable,Unacceptable
108.16.205.141,TRUE,Male,39,30-49,White,Unacceptable,Unsure,Unsure,Unacceptable
98.225.212.106,TRUE,Male,39,30-49,Black or African American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
99.203.144.29,TRUE,Male,39,30-49,White,Unacceptable,Acceptable,Unsure,Unsure
99.182.16.150,TRUE,Male,39,30-49,Black or African American,Unacceptable,Unacceptable,Acceptable,Unacceptable
104.2.250.99,TRUE,Male,39,30-49,"Hispanic or Latino,White",Acceptable,Acceptable,Acceptable,Acceptable
174.225.130.173,TRUE,Female,39,30-49,White,Acceptable,Acceptable,Acceptable,Unsure
99.203.40.251,TRUE,Female,39,30-49,Black or African American,Acceptable,Unacceptable,Unacceptable,Acceptable
74.90.205.108,TRUE,Female,39,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Unacceptable
174.195.145.87,TRUE,Male,39,30-49,Asian or Asian American,Acceptable,Unacceptable,Acceptable,Unacceptable
99.146.17.92,TRUE,Male,39,30-49,Asian or Asian American,Acceptable,Unacceptable,Unacceptable,Acceptable
73.19.12.10,TRUE,Female,39,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
75.161.150.220,TRUE,Female,39,30-49,White,Acceptable,Unsure,Unacceptable,Unacceptable
107.139.130.13,TRUE,Female,39,30-49,Hispanic or Latino,Acceptable,Acceptable,Unacceptable,Unsure
184.96.255.131,TRUE,Male,39,30-49,Hispanic or Latino,Acceptable,Acceptable,Unacceptable,Unacceptable
107.77.200.150,TRUE,Male,39,30-49,White,Acceptable,Unacceptable,Acceptable,Acceptable
73.10.100.109,TRUE,Male,39,30-49,White,Acceptable,Unsure,Unsure,Unacceptable
174.204.196.194,TRUE,Male,39,30-49,"White,Black or African American,American Indian or Alaska Native,Other",Acceptable,Unacceptable,Unacceptable,Acceptable
24.234.158.242,TRUE,Male,39,30-49,White,Acceptable,Acceptable,Unacceptable,Acceptable
35.143.222.185,TRUE,Female,40,30-49,"White,Black or African American",Unsure,Acceptable,Unsure,Acceptable
71.95.2.254,TRUE,Female,40,30-49,Hispanic or Latino,Unsure,Unsure,Unacceptable,Unacceptable
174.236.128.120,TRUE,Female,40,30-49,"White,American Indian or Alaska Native",Unsure,Acceptable,Acceptable,Acceptable
107.137.67.72,TRUE,Male,40,30-49,Asian or Asian American,Unsure,Acceptable,Unsure,Unacceptable
172.58.21.206,TRUE,Female,40,30-49,Hispanic or Latino,Unsure,Acceptable,Acceptable,Unsure
172.58.207.165,TRUE,Male,40,30-49,White,Unsure,Unacceptable,Acceptable,Acceptable
172.58.109.41,FALSE,Female,40,30-49,White,Unsure,Acceptable,Acceptable,Acceptable
198.182.12.217,TRUE,Male,40,30-49,Asian or Asian American,Unacceptable,Unacceptable,Unacceptable,Unacceptable
35.137.79.53,TRUE,Male,40,30-49,Hispanic or Latino,Unacceptable,Acceptable,Unacceptable,Unacceptable
68.7.40.182,TRUE,Female,40,30-49,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Unacceptable
73.253.10.41,TRUE,Female,40,30-49,Black or African American,Unacceptable,Acceptable,Acceptable,Unacceptable
50.123.134.255,TRUE,Female,40,30-49,White,Unacceptable,Unacceptable,Unacceptable,Unacceptable
99.203.86.255,TRUE,Male,40,30-49,Hispanic or Latino,Unacceptable,Acceptable,Unsure,Unacceptable
45.27.38.245,TRUE,Male,40,30-49,White,Acceptable,Acceptable,Unsure,Unacceptable
72.185.13.48,TRUE,Male,40,30-49,Hispanic or Latino,Acceptable,Acceptable,Acceptable,Acceptable
73.165.10.10,TRUE,Male,40,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Unacceptable
184.55.198.26,TRUE,Female,40,30-49,Black or African American,Acceptable,Acceptable,Acceptable,Unsure
65.35.216.197,TRUE,Female,40,30-49,White,Acceptable,Acceptable,Acceptable,Unacceptable
70.94.8.140,TRUE,Male,40,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
172.56.6.82,TRUE,Male,40,30-49,Hispanic or Latino,Acceptable,Unsure,Acceptable,Acceptable
50.89.177.162,TRUE,Male,40,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
73.45.165.119,TRUE,Male,40,30-49,White,Acceptable,Acceptable,Acceptable,Unacceptable
99.203.93.61,TRUE,Male,40,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
174.250.159.220,TRUE,Male,40,30-49,White,Acceptable,Unacceptable,Acceptable,Acceptable
172.88.200.39,TRUE,Male,41,30-49,White,Unsure,Acceptable,Unacceptable,Unacceptable
71.114.87.214,TRUE,Male,41,30-49,Hispanic or Latino,Unsure,Unsure,Unacceptable,Unsure
23.115.209.47,TRUE,Female,41,30-49,Asian or Asian American,Unacceptable,Unsure,Unacceptable,Unacceptable
69.14.232.168,TRUE,Male,41,30-49,White,Unacceptable,Unsure,Unacceptable,Acceptable
76.113.161.238,TRUE,Female,41,30-49,Black or African American,Unacceptable,Acceptable,Unacceptable,Unacceptable
146.115.150.68,TRUE,Male,41,30-49,Asian or Asian American,Unacceptable,Acceptable,Acceptable,Unsure
184.187.220.132,TRUE,Male,41,30-49,Asian or Asian American,Unacceptable,Unacceptable,Unsure,Unacceptable
75.37.196.158,TRUE,Male,41,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Acceptable,Unacceptable
69.136.197.74,TRUE,Female,41,30-49,Asian or Asian American,Unacceptable,Unacceptable,Acceptable,Acceptable
50.228.255.127,TRUE,Male,41,30-49,White,Unacceptable,Unacceptable,Acceptable,Acceptable
108.250.56.237,TRUE,Male,41,30-49,Hispanic or Latino,Unacceptable,Unacceptable,Acceptable,Unsure
73.154.249.181,TRUE,Male,41,30-49,White,Acceptable,Unacceptable,Acceptable,Acceptable
172.58.157.120,TRUE,Female,41,30-49,"White,American Indian or Alaska Native",Acceptable,Unsure,Acceptable,Acceptable
99.203.68.228,TRUE,Male,41,30-49,White,Acceptable,Unacceptable,Acceptable,Acceptable
69.140.110.100,TRUE,Male,41,30-49,"White,Asian or Asian American",Acceptable,Acceptable,Acceptable,Acceptable
142.129.27.151,TRUE,Female,41,30-49,Hispanic or Latino,Acceptable,Acceptable,Unsure,Acceptable
76.31.71.172,TRUE,Female,41,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
76.184.92.162,TRUE,Male,41,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
174.253.8.151,TRUE,Male,41,30-49,"White,American Indian or Alaska Native",Acceptable,Unacceptable,Unacceptable,Unacceptable
68.204.97.219,TRUE,Female,41,30-49,"Hispanic or Latino,Black or African American",Acceptable,Unacceptable,Acceptable,Unsure
184.239.105.167,TRUE,Female,41,30-49,White,Acceptable,Acceptable,Unacceptable,Acceptable
162.201.111.103,TRUE,Male,41,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
108.34.235.176,TRUE,Male,41,30-49,White,Acceptable,Unacceptable,Unacceptable,Unacceptable
75.69.83.23,TRUE,Male,41,30-49,White,Acceptable,Acceptable,Acceptable,Acceptable
68.70.246.118,TRUE,Female,41,30-49,Asian or Asian American,Acceptable,Acceptable,Acceptable,Acceptable
